,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_27,49383.34,47049.84,56146.06,62516.84,66779.23,69480.17,85325.89,89179.09,97467.12,107769.9,108558.23,124927.89,132517.88,142036.56,119887.24,111978.31,114907.66,101632.48,93006.86,94128.02,98924.12,101071.59,105190.78,106289.66,110204.38
Col_28,272408.29,274599.08,268297.24,277581.0,289777.63,276569.52,296793.49,331690.06,355223.83,389805.43,414528.49,433426.95,445307.67,469155.47,490922.51,538504.46,495654.01,585443.37,623134.55,596097.48,570492.12,526494.46,471769.73,452365.48,436099.26
Col_29,20035.68,21227.86,21160.64,22632.18,24499.75,25908.84,25769.17,25379.97,26314.11,26493.42,27749.42,27555.03,29325.65,30510.17,30422.16,29688.54,29399.25,28791.33,29115.15,29495.49,27748.78,27537.75,29095.05,31344.68,32664.93
Col_30,8097.2,9172.19,10816.99,12588.0,13378.74,14651.69,16961.6,19112.3,20483.02,21856.42,24441.16,34516.16,41904.34,50738.93,53968.66,55966.3,52976.35,58294.24,65394.94,72191.14,63522.57,63313.7,55497.07,58700.72,60978.99
Col_31,21598.21,20381.38,21154.73,23780.44,26110.28,27614.54,27048.83,27899.45,27837.86,29587.38,31504.67,31446.57,35461.17,35085.43,32583.63,32426.6,30433.0,28487.14,28871.46,27484.83,27761.61,28123.54,28884.82,31075.83,33523.13
Col_32,11738.17,12124.61,12244.51,12950.75,14101.3,14388.38,14458.97,15175.05,15501.17,15777.17,15866.19,16493.63,18236.68,18290.28,18155.93,18621.64,18211.98,17977.23,18206.99,17774.82,17808.23,18412.5,18746.08,19477.01,20334.69
Col_33,22053.32,23383.72,25279.28,27200.27,28367.73,31025.2,31556.47,31528.07,33647.76,34078.87,36487.34,37479.74,38872.76,40375.27,42345.97,41154.39,40789.93,36921.81,41334.57,39166.54,39993.93,40708.13,41445.1,42633.15,43441.51
Col_34,19218.57,19622.55,20695.22,21679.6,22715.22,24888.28,26539.78,28408.36,29904.52,31243.36,32759.16,32975.06,32538.82,34071.68,34570.3,34696.19,32378.61,29334.78,31096.68,31786.79,31789.01,31644.01,32425.89,32934.26,33662.96
Col_35,17200.75,18353.71,19052.19,20314.15,21506.39,23074.24,26345.95,27518.6,29168.78,31293.75,32797.75,32783.48,34666.88,33860.47,34277.5,34785.57,32929.34,31710.5,32058.31,32078.89,32273.31,32472.86,33062.5,34272.16,35697.77
Col_36,10392.42,10269.3,10711.3,10858.1,10920.68,11828.15,13653.45,13627.21,13562.98,14362.82,14447.39,14632.43,15683.55,16241.52,16011.6,16443.28,16762.92,16761.39,16781.71,16271.78,16775.42,17508.39,18833.64,19288.95,19509.61
Col_37,17176.91,19070.63,19439.74,16923.08,19383.45,22298.65,23334.81,25285.22,26152.39,27139.79,26028.8,26282.18,26851.32,27971.32,29154.37,28783.38,30142.69,27204.13,26528.61,26512.09,28470.2,28283.83,29956.18,31503.69,32427.68
Col_38,8204.01,9064.84,8882.13,8870.18,9554.09,11660.54,11514.27,12636.37,12741.39,13120.74,13632.69,14218.94,15716.86,16714.51,17475.89,18243.86,17900.96,19748.07,19832.12,19448.11,19809.62,19910.6,20249.42,20914.36,21199.05
