,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_27,6472.78,6668.68,7676.1,8776.85,9690.85,10299.96,11777.69,12142.42,12676.58,13473.53,14082.71,16377.18,18094.67,19123.18,17553.21,17156.52,17535.56,16172.84,15304.65,14713.92,14760.01,14664.08,14547.6,15088.13,15471.49
Col_28,7797.33,8399.92,9002.49,9770.86,10570.66,11343.25,12174.47,13101.36,13866.11,14479.15,15516.83,16213.21,17279.45,18122.9,18554.16,19529.97,19408.86,19243.19,19921.13,20770.9,21500.48,22892.77,24378.77,25563.05,27082.93
Col_29,3945.53,4280.34,4617.59,5151.82,5711.46,6193.42,6576.34,6638.33,6936.81,7169.91,7626.89,7488.35,8292.99,8940.42,9101.87,8975.43,8804.88,8258.55,8069.3,8637.49,8759.44,8995.44,9701.36,10601.63,11392.24
Col_30,181.66,200.27,216.41,240.07,267.1,278.87,310.7,339.47,353.26,397.35,429.78,490.56,563.94,650.96,681.95,685.03,661.29,662.5,704.72,805.09,811.09,850.45,850.71,905.03,994.41
Col_31,1552.09,1669.26,1816.96,1997.86,2189.07,2383.45,2452.09,2229.3,2321.78,2546.8,2636.9,2739.34,3002.79,3055.85,2778.32,2830.21,2664.2,2304.75,2265.14,2407.06,2541.56,2717.12,2958.48,3200.67,3461.36
Col_32,3604.05,3961.07,4330.73,4739.44,5167.01,5622.23,5740.52,6010.41,6211.26,6559.98,6878.47,7340.31,8076.77,8669.87,8593.79,8855.74,8529.8,7912.54,7868.92,8205.93,8656.34,9379.76,10498.94,11380.52,11971.75
Col_33,8124.04,8682.87,9332.83,10267.69,11068.8,12653.48,13080.87,13511.7,14245.14,14800.58,15999.13,16423.39,17342.29,17860.28,18986.68,17956.96,17250.05,15994.57,16732.38,16389.17,15399.45,15544.16,15863.52,16305.78,16784.8
Col_34,5906.49,6206.55,6765.69,7253.37,7838.88,8682.95,9312.04,10055.5,10359.99,10844.44,11461.44,11582.18,11462.22,12130.91,12653.39,12870.27,12043.94,10600.96,10977.25,10807.94,10708.5,10910.43,11285.72,11705.8,12126.65
Col_35,4670.9,5056.19,5417.26,5884.29,6634.26,7325.27,8112.57,8744.54,9374.61,10212.54,10767.01,10921.63,11549.55,12112.65,12745.95,13224.04,13045.95,12019.53,12069.35,12347.76,12791.78,13380.75,14033.78,14872.78,15850.82
Col_36,1664.42,1779.89,1810.87,1862.87,1956.4,2140.0,2367.26,2490.83,2481.0,2688.38,2738.19,2878.48,3132.71,3406.67,3416.21,3485.57,3663.83,3669.37,3751.29,3749.32,3876.76,4186.11,4542.92,4670.93,4783.89
Col_37,1376.84,1493.52,1566.91,1613.9,1757.51,1992.93,2061.9,2034.29,1991.71,2188.29,2255.14,2311.64,2498.59,2678.37,2683.99,2727.38,2602.66,2376.19,2249.38,2451.24,2654.4,2859.77,3170.52,3440.54,3838.07
Col_38,1584.16,1742.85,1808.25,1867.14,1971.28,2220.77,2282.85,2446.54,2627.15,2798.65,2889.32,3037.63,3308.3,3648.52,3661.61,3706.38,3587.36,3577.93,3543.05,3566.62,3640.59,3677.5,3835.73,4095.43,4192.83
